Name,Amount,District
"Bush, Cori","$1,012",D-MO
"Gonzalez, Vicente","$1,012",D-TX
"Nickel, Wiley","$1,012",D-NC
"Williams, Nikema Natassha","$1,012",D-GA
"Bartlett, Lisa","$1,000",R-CA
"Baxter, Tim","$1,000",R-NH
"Cherfilus-McCormick, Sheila","$1,000",D-FL
"Engel, Kirsten","$1,000",D-AZ
"Ivey, Glenn","$1,000",D-MD
"Kelly, Odessa","$1,000",D-TN
"Marks, Martin","$1,000",R-FL
"Putorti, Matthew","$1,000",D-NY
"Roberts, Rusty","$1,000",R-FL
"Frost, Maxwell",$929,D-FL
"Gallego, Ruben",$687,D-AZ
"Gomez, Jimmy",$532,D-CA
"Dingell, Debbie",$512,D-MI
"Nadler, Jerrold",$512,D-NY
"Sanchez, Linda",$512,D-CA
"Blalock, Andy",$500,R-AL
"Sossa-Paquette, Jeff",$500,R-MA
"Tenney, Claudia",$500,R-NY
"Flowers, Marcus",$450,D-GA
"Espaillat, Adriano",$312,D-NY
"Ocasio-Cortez, Alexandria",$270,D-NY
"Barragan, Nanette",$262,D-CA
"Himes, Jim",$262,D-CT
"Morelle, Joseph D",$262,D-NY
"Sherman, Brad",$262,D-CA
"Panetta, Jimmy",$212,D-CA
"Tonko, Paul",$162,D-NY
"Pressley, Ayanna",$137,D-MA
"Huffman, Jared",$112,D-CA
"Soto, Darren",$112,D-FL
"Peters, Sam",$100,R-NV
"Omar, Ilhan",$13,D-MN
"Adams, Alma",$12,D-NC
"Bera, Ami",$12,D-CA
"Beyer, Don",$12,D-VA
"Blumenauer, Earl",$12,D-OR
"Bonamici, Suzanne",$12,D-OR
"Brownley, Julia",$12,D-CA
"Carbajal, Salud",$12,D-CA
"Cardenas, Tony",$12,D-CA
"Case, Ed",$12,D-HI
"Castor, Kathy",$12,D-FL
"Clarke, Yvette",$12,D-NY
"Cleaver, Emanuel",$12,D-MO
"Cohen, Steve",$12,D-TN
"Coleman, Bonnie Watson",$12,D-NJ
"Connolly, Gerry",$12,D-VA
"Correa, Lou",$12,D-CA
"Costa, Jim",$12,D-CA
"Crow, Jason",$12,D-CO
"Davis, Danny K",$12,D-IL
"DeGette, Diana",$12,D-CO
"DeLauro, Rosa",$12,D-CT
"Desaulnier, Mark",$12,D-CA
"Doggett, Lloyd",$12,D-TX
"Escobar, Veronica",$12,D-TX
"Evans, Dwight",$12,D-PA
"Garamendi, John",$12,D-CA
"Garcia, Jesus",$12,D-IL
"Garcia, Sylvia",$12,D-TX
"Green, Al",$12,D-TX
"Grijalva, Raul M",$12,D-AZ
"Jacobs, Sara",$12,D-CA
"Jayapal, Pramila",$12,D-WA
"Johnson, Hank",$12,D-GA
"Keating, Bill",$12,D-MA
"Kuster, Ann",$12,D-NH
"Larsen, Rick",$12,D-WA
"Larson, John",$12,D-CT
"Lawson, Al",$12,D-FL
"Lee, Barbara",$12,D-CA
"Levin, Andy",$12,D-MI
"Lynch, Stephen",$12,D-MA
"Matsui, Doris",$12,D-CA
"McCollum, Betty",$12,D-MN
"McEachin, Donald",$12,D-VA
"McGovern, James P",$12,D-MA
"Meng, Grace",$12,D-NY
"Mfume, Kweisi",$12,D-MD
"Moulton, Seth",$12,D-MA
"Napolitano, Grace",$12,D-CA
"Neal, Richard E",$12,D-MA
"Neguse, Joseph",$12,D-CO
"Norcross, Don",$12,D-NJ
"Pallone, Frank Jr",$12,D-NJ
"Pascrell, Bill Jr",$12,D-NJ
"Payne, Donald M Jr",$12,D-NJ
"Peters, Scott",$12,D-CA
"Phillips, Dean",$12,D-MN
"Pingree, Chellie",$12,D-ME
"Quigley, Mike",$12,D-IL
"Ross, Deborah",$12,D-NC
"Ruppersberger, Dutch",$12,D-MD
"Sarbanes, John",$12,D-MD
"Schneider, Brad",$12,D-IL
"Schultz, Debbie Wasserman",$12,D-FL
"Scott, Bobby",$12,D-VA
"Scott, David",$12,D-GA
"Sewell, Terri",$12,D-AL
"Thompson, Mike",$12,D-CA
"Tlaib, Rashida",$12,D-MI
"Torres, Norma",$12d,D-CA
"Trahan, Lori",$12,D-MA
"Trone, David",$12,D-MD
"Vargas, Juan",$12,D-CA
"Veasey, Marc",$12,D-TX
"Velazquez, Nydia",$12,D-NY
"Wilson, Frederica",$12,D-FL
"Jackson, Jeff",$-179,D-NC
"Allred, Colin","$-2,688",D-TX
"Newman, Marie","$-4,400",D-IL
"Jones, Mondaire","$-15,250",D-NY
