Name,Amount,District
"Huynh, Hoan Dac",$500,D-IL
"McDonald, Darlene",$500,D-UT
"McNerney, Jerry",$500,D-CA
"Perez, Janelle",$500,D-FL
"Quartey, Quaye",$500,D-CA
"Torres, Ritchie",$500,D-NY
"White, Doug",$500,D-WA
"Morelle, Joseph D",$450,D-NY
"Thompson, Mike",$406,D-CA
"Rayner, Michele K. Ms.",$360,D-FL
"Davis, Wendy",$358,D-GA
"Tlaib, Rashida",$285,D-MI
"Abdelhamid, Rana",$270,D-NY
"Pallone, Frank Jr",$254,D-NJ
"Beltran, Joaquin",$250,D-CA
"Bowman, Jamaal",$250,D-NY
"Brown, Shontel",$250,D-OH
"Canning, Doyle",$250,D-OR
"Hamilton, Jane",$250,D-TX
"Hernandez, Daniel",$250,D-AZ
"Larsen, Rick",$250,D-WA
"Panetta, Jimmy",$250,D-CA
"Rochester, Lisa Blunt",$250,D-DE
"Taitano, Kylie",$250,D-CA
"Wallace, Litesa",$250,D-IL
"Omar, Ilhan",$234,D-MN
"Cicilline, David",$225,D-RI
"Collins, Kina",$200,D-IL
"D'Arrigo, Melanie",$200,3-NY
"Marshall, Derek",$200,D-CA
"Steiner, Max",$200,D-CA
"Ocasio-Cortez, Alexandria",$163,D-NY
"Edwards, Donna",$100,D-MD
"Clyburn, James E",$50,D-SC
"Friese, Randy",$-300,D-AZ
"Jayapal, Pramila","$-2,834",D-WA
