Name,Amount,District
"Waltz, Michael","$40,436",R-FL
"Issa, Darrell","$40,230",R-CA
"Bishop, Sanford","$39,350",D-GA
"Santos, George","$39,350",R-NY
"Letlow, Julia","$39,100",R-LA
"Reschenthaler, Guy","$38,800",R-PA
"Kustoff, David","$38,650",R-TN
"Newhouse, Dan","$38,250",R-WA
"Lee, Summer","$38,194",D-PA
"Mace, Nancy","$38,181",R-SC
"Wexton, Jennifer","$38,017",D-VA
"Harris, Andy","$37,906",R-MD
"Kuster, Ann","$37,863",D-NH
"Clarke, Yvette","$37,731",D-NY
"Green, Mark","$37,700",R-TN
"Brownley, Julia","$37,550",D-CA
"Meijer, Peter","$37,301",R-MI
"Horsford, Steven","$36,500",D-NV
"Strickland, Marilyn","$36,254",D-WA
"Steube, Greg","$36,105",R-FL
"King, Esther Joy","$36,103",R-IL
"Mullin, Kevin","$35,550",D-CA
"Bergman, John","$35,454",R-MI
"Courtney, Joe","$35,050",D-CT
"Miller, Max","$34,865",R-OH
"Moore, Blake","$34,550",R-UT
"Donalds, Byron","$34,527",R-FL
"Womack, Steve","$34,183",R-AR
"Ciscomani, Juan","$33,950",R-AZ
"Tiffany, Tom","$33,950",R-WI
"Lee, Susie","$33,750",D-NV
"Espaillat, Adriano","$33,450",D-NY
"Neguse, Joseph","$33,250",D-CO
"Tenney, Claudia","$32,901",R-NY
"Foxx, Virginia","$32,850",R-NC
"Banks, Jim","$32,820",R-IN
"Lesko, Debbie","$32,650",R-AZ
"Delgado, Antonio","$32,488",D-NY
"Veasey, Marc","$31,900",D-TX
"Fleming, Bridget","$31,666",D-NY
"Spartz, Victoria","$31,611",R-IN
"Palmer, Gary","$31,100",R-AL
"Molinaro, Marc","$31,020",R-NY
"Walberg, Tim","$30,800",R-MI
"Johnson, Mike","$30,750",R-LA
"Pfluger, August","$30,150",R-TX
"Comer, James","$30,100",R-KY
"Weber, Randy","$30,000",R-TX
"Loudermilk, Barry","$29,950",R-GA
"Latta, Bob","$29,800",R-OH
"Gonzalez, Anthony","$29,780",R-OH
"Curtis, John","$29,750",R-UT
"Cammack, Kat","$29,545",R-FL
"Deutch, Ted","$29,000",D-FL
"Ryan, Pat","$28,850",D-NY
"Swalwell, Eric","$28,550",D-CA
"Smucker, Lloyd","$28,400",R-PA
"Larsen, Rick","$28,300",D-WA
"Hageman, Harriet","$27,850",R-WY
"Vasquez, Gabe","$27,840",D-NM
"Yakym, Rudy","$27,650",R-IN
"Ross, Deborah","$27,400",D-NC
"Lee, Barbara","$27,233",D-CA
"Moolenaar, John","$27,100",R-MI
"Ruppersberger, Dutch","$26,850",D-MD
"Balderson, Troy","$26,800",R-OH
"Kinzinger, Adam","$26,725",R-IL
"Bowman, Jamaal","$26,704",D-NY
"Sykes, Emilia","$26,662",D-OH
"Jacobs, Sara","$26,550",D-CA
"McEachin, Donald","$26,500",D-VA
"Walorski, Jackie","$26,500",R-IN
"Fleischmann, Chuck","$26,450",R-TN
"Rosendale, Matt","$26,300",R-MT
"Rose, John","$26,130",R-TN
"Huizenga, Bill","$26,100",R-MI
"Biggs, Andy","$25,725",R-AZ
"Owens, Burgess","$25,500",R-UT
"Houlahan, Chrissy","$25,487",D-PA
"Smith, Adam","$25,399",D-WA
"Mann, Tracey","$25,250",R-KS
"Brog, David","$24,850",R-NV
"Pascrell, Bill Jr","$24,850",D-NJ
"Carter, Troy","$24,500",D-LA
"Bice, Stephanie","$24,400",R-OK
"Stansbury, Melanie","$24,367",D-NM
"Craig, Angie","$24,300",D-MN
"Bost, Mike","$24,250",R-IL
"Guest, Michael","$24,200",R-MS
"Rutherford, John","$24,150",R-FL
"De La Cruz, Monica","$24,096",R-TX
"Van Drew, Jeff","$24,095",R-NJ
"Westerman, Bruce","$23,903",R-AR
"Schrader, Kurt","$23,640",D-OR
"Keating, Bill","$23,545",D-MA
"Carter, Buddy","$23,400",R-GA
"Langworthy, Nick","$23,400",R-NY
"McGarvey, Morgan","$23,200",D-KY
"Desjarlais, Scott","$22,900",R-TN
"Murphy, Greg","$22,900",R-NC
"McClain, Lisa","$22,884",R-MI
"Garcia, Sylvia","$22,777",D-TX
"Arrington, Jodey","$22,700",R-TX
"Newman, Marie","$22,478",D-IL
"Johnson, Bill","$22,400",R-OH
"Lawson, Al","$22,203",D-FL
"Hudson, Richard","$22,200",R-NC
"Baugh, Scott","$22,000",R-CA
"Hinson, Ashley","$21,749",R-IA
"Soto, Darren","$21,600",D-FL
"Kelly, Robin","$21,525",D-IL
"Timmons, William","$21,250",R-SC
"Vega, Yesli","$21,150",R-VA
"Kamlager, Sydney","$21,010",D-CA
"Case, Ed","$21,000",D-HI
"Gibbs, Bob","$20,800",R-OH
"Mrvan, Frank Jr","$20,650",D-IN
"Mfume, Kweisi","$20,500",D-MD
"Moran, Nathaniel","$20,500",R-TX
"Graves, Garret","$20,200",R-LA
