Name,Amount,District
"Issa, Darrell","$19,564",R-CA
"Beyer, Don","$19,412",D-VA
"Tokuda, Jill","$19,166",D-HI
"Stevens, Haley","$19,062",D-MI
"Waltz, Michael","$18,840",R-FL
"Ramirez, Delia","$18,617",D-IL
"Shelton, Alisha","$18,550",D-NE
"Flynn, Carrick","$18,266",D-OR
"Pocan, Mark","$18,223",D-WI
"Payne, Donald M Jr","$18,012",D-NJ
"Reyes, Victor","$17,950",D-NM
"Asencio, Robert","$17,900",D-FL
"Frost, Maxwell","$17,737",D-FL
"DelBene, Suzan","$17,612",D-WA
"Hunt, Wesley","$17,569",R-TX
"DeLauro, Rosa","$17,462",D-CT
"Gomez, Jimmy","$17,332",D-CA
"Kelly, Robin","$17,318",D-IL
"Ramos Debarros, Brittany","$17,105",3-NY
"Lira, John","$17,060",D-TX
"Chabot, Steve","$17,050",R-OH
"Chu, Judy","$17,038",D-CA
"Nadler, Jerrold","$17,012",D-NY
"Luna, Anna Paulina","$16,925",R-FL
"Bera, Ami","$16,882",D-CA
"Branco, Patrick","$16,750",D-HI
"Cuellar, Henry","$16,700",D-TX
"Davis, Don","$16,600",D-NC
"Evans, Dwight","$16,012",D-PA
"Bohannan, Christina","$15,887",D-IA
"Malliotakis, Nicole","$15,783",R-NY
"McCaul, Michael","$15,683",R-TX
"Beatty, Joyce","$15,612",D-OH
"Clark, Katherine","$15,550",D-MA
"Engel, Kirsten","$15,350",D-AZ
"Rhodes, Aarika","$15,135",D-CA
"Swalwell, Eric","$15,122",D-CA
"Gimenez, Carlos","$14,872",R-FL
"Pressley, Ayanna","$14,839",D-MA
"Carter, Buddy","$14,700",R-GA
"Aguilar, Pete","$14,662",D-CA
"Lassiter, Shawn","$14,500",D-TX
"Gillen, Laura","$14,316",D-NY
"Valadao, David","$14,257",R-CA
"Schakowsky, Jan","$13,962",D-IL
"Clyde, Andrew","$13,771",R-GA
"Maloney, Carolyn","$13,739",D-NY
"Himes, Jim","$13,637",D-CT
"Crow, Jason","$13,618",D-CO
"Bacon, Donald John","$13,600",R-NE
"Scott, Attica","$13,465",D-KY
"Quartey, Quaye","$13,150",D-CA
"Edwards, Donna","$13,000",D-MD
"McClellan, Jennifer","$13,000",D-VA
"Pfluger, August","$12,900",R-TX
"O'Halleran, Tom","$12,762",D-AZ
"Nickel, Wiley","$12,562",D-NC
"Kurani, Shrina","$12,515",D-CA
"Lawson, Al","$12,512",D-FL
"Foushee, Valerie","$12,500",D-NC
"Cardenas, Tony","$11,912",D-CA
"Jacobs, Sara","$11,862",D-CA
"Patel, Suraj","$11,800",D-NY
"Hinsdale, Kesha Ram","$11,500",D-VT
"Perez, Marie Gluesenkamp","$11,500",D-WA
"Davis, Cicely","$11,428",R-MN
"McClain, Lisa","$11,400",R-MI
"Arballo, Phil","$11,390",D-CA
"Garamendi, John","$11,262",D-CA
"Mullin, Kevin","$11,250",D-CA
"Connolly, Gerry","$11,212",D-VA
"Tonko, Paul","$11,053",D-NY
"Canepa, David","$11,000",D-CA
"Aazami, Shervin","$10,900",D-CA
"Lee, Barbara","$10,781",D-CA
"Gray, Molly","$10,690",D-VT
"Smith, Jason","$10,667",R-MO
"Garcia, Cassy","$10,604",R-TX
"Thompson, Mike","$10,515",D-CA
"Rivera, Carlina","$10,465",D-NY
"Brog, David","$10,300",R-NV
"Escobar, Veronica","$10,162",D-TX
"Fallon, Patrick","$10,150",R-TX
"Bice, Stephanie","$10,050",R-OK
"Fung, Allan","$10,050",R-RI
"Mills, Aisha","$10,050",D-NY
"Maryott, Brian","$10,013",R-CA
"Smith, Loretta","$10,000",D-OR
"Veasey, Marc","$9,762",D-TX
"Bass, Karen","$9,700",D-CA
"Courtney, Joe","$9,612",D-CT
"Meloy, Sean","$9,600",D-PA
"Coleman, Bonnie Watson","$9,412",D-NJ
"Kilmer, Derek","$9,412",D-WA
"Casten, Sean","$9,312",D-IL
"Christophe, Candy","$9,275",D-LA
"Moolenaar, John","$9,250",R-MI
"Tandon, Ritesh","$9,101",R-CA
"Mathis, Liz","$9,092",D-IA
"Gashi, Vedat","$9,000",D-NY
"Smith, Erica","$8,960",D-NC
"Rocha, Joseph C.","$8,900",D-CA
"Clarke, Yvette","$8,762",D-NY
"Herrell, Yvette","$8,725",R-NM
"Auchincloss, Jake","$8,712",D-MA
"Aiken, Clay","$8,681",D-NC
"Mosely, Brandon","$8,650",D-CA
"Larson, John","$8,512",D-CT
"Clyburn, James E","$8,500",D-SC
"Fleming, Bridget","$8,500",D-NY
"Virasingh, Victoria","$8,400",D-VA
"Smith, Aja","$8,390",R-CA
"Torres, Norma","$8,262",D-CA
"Larkin, Matt","$8,238",R-WA
"Schrader, Kurt","$8,000",D-OR
"Hudson, Richard","$7,900",R-NC
"Panetta, Jimmy","$7,712",D-CA
"Sessions, Pete","$7,700",R-TX
"Eshoo, Anna","$7,362",D-CA
"Benjamin, Leon","$7,338",R-VA
"Vega, Yesli","$7,338",R-VA
"Cherfilus-McCormick, Sheila","$7,250",D-FL
"Gallego, Ruben","$7,184",D-AZ
"Kim, David","$7,139",D-CA
"Tanaka, Greg","$7,040",D-CA
"Matsui, Doris","$6,967",D-CA
"Moore, Gwen","$6,916",D-WI
"Simpson, Mike","$6,800",R-ID
"Lauf, Catalina","$6,771",R-IL
"Dean, Madeleine","$6,762",D-PA
"Loudermilk, Barry","$6,750",R-GA
"Hollier, Adam","$6,650",D-MI
"Dingell, Debbie","$6,512",D-MI
"Johnson, Alexis","$6,500",R-NM
"Tenney, Claudia","$6,447",R-NY
"Srivastava, Sandeep","$6,302",D-TX
"Selen, Tayfun","$6,250",R-NJ
"Pfaff, Brad","$6,202",D-WI
"Sherman, Brad","$6,162",D-CA
"Schweikert, David","$6,150",R-AZ
"Sewell, Terri","$6,012",D-AL
"Jackson, Jeff","$6,006",D-NC
"Rodgers, Cathy McMorris","$6,000",R-WA
"McKinley, David","$5,900",R-WV
"Norington-Reaves, Karin","$5,900",D-IL
"Frankel, Lois","$5,812",D-FL
"Hayslett, Kevin","$5,800",R-FL
"Baugh, Scott","$5,788",R-CA
"Chavez-Deremer, Lori","$5,538",R-OR
"Scanlon, Mary Gay","$5,512",D-PA
"Garcia Holmes, Michelle","$5,500",R-NM
"Biaggi, Alessandra","$5,476",D-NY
"Peters, Scott","$5,457",D-CA
"Ciscomani, Juan","$5,288",R-AZ
"Garcia, Sylvia","$5,262",D-TX
"Mace, Nancy","$5,160",R-SC
"Brownley, Julia","$5,012",D-CA
"Johnson, Hank","$5,012",D-GA
"Pallone, Frank Jr","$5,012",D-NJ
"Asensio, Manuel","$5,000",R-FL
"Becker, Nina","$5,000",R-AZ
"Dorilas, Rod","$5,000",R-FL
"France, Mike","$5,000",R-CT
"Gash, Eric","$5,000",D-NC
"Gibbs, John","$5,000",R-MI
"Lawrence, Brenda","$5,000",D-MI
"Molinaro, Marc","$5,000",R-NY
"Sanchez, Daniel","$5,000",D-TX
"Thanedar, Shri","$5,000",D-MI
"Case, Ed","$4,912",D-HI
"Cleaver, Emanuel","$4,912",D-MO
"Grijalva, Raul M","$4,912",D-AZ
"Hrezi, Muad","$4,901",D-CT
"McCollum, Betty","$4,765",D-MN
"Kinzinger, Adam","$4,750",R-IL
"Banks, Jim","$4,663",R-IN
"Doggett, Lloyd","$4,512",D-TX
"Wilson, Joe","$4,500",R-SC
"McGovern, James P","$4,262",D-MA
"Dowell, Pat","$4,150",D-IL
"Goldman, Dan","$4,150",D-NY
"Tranel, Monica","$4,070",D-MT
"Cohen, Steve","$4,012",D-TN
"Alexander, Timothy C","$4,000",D-NJ
"McGrath, Deb","$4,000",D-WI
"Palmer, David","$4,000",D-IL
"Castro, Joaquin","$3,912",D-TX
"Barr, Andy","$3,900",R-KY
"Hardy, Omari","$3,900",D-FL
"Hubbard, Lourin","$3,800",D-CA
"Morelle, Joseph D","$3,762",D-NY
"Newman, Marie","$3,725",D-IL
"Higgins, Brian M","$3,662",D-NY
"Bracy, Randolph","$3,650",D-FL
"Cavaleri, Vincent","$3,500",R-WA
"Irwin, Steven","$3,500",D-PA
"Kustoff, David","$3,500",R-TN
"Campbell, Heidi","$3,400",D-TN
"Thompson, Bennie G","$3,277",D-MS
"Moskowitz, Jared","$3,106",D-FL
"Neguse, Joseph","$3,092",D-CO
"Correa, Lou","$3,012",D-CA
"Jackson, Jonathan","$3,000",D-IL
"Marshall, Derek","$2,950",D-CA
"Smith, Adam","$2,912",D-WA
"Trone, David","$2,912",D-MD
"Vargas, Juan","$2,912",D-CA
"Ayala, Aramis","$2,900",D-FL
"Bean, Aaron","$2,900",R-FL
"Bond, Michelle","$2,900",R-NY
"Cheney, Jamie","$2,900",D-NY
"Hahn, Kara","$2,900",D-NY
"Holness, Dale","$2,900",D-FL
