Name,Amount,District
"Hodge, Jevin","$5,850",D-AZ
"Krishnamoorthi, Raja","$5,800",D-IL
"Rodgers, Cathy McMorris","$5,800",R-WA
"Moore, Gwen","$5,500",D-WI
"Walorski, Jackie","$5,500",R-IN
"Schultz, Jen","$5,400",D-MN
"Roberson, Portia","$5,250",D-MI
"Strahan, Jennifer","$5,250",R-GA
"Bruce, Kalena","$5,000",R-MO
"Heng, Elizabeth","$5,000",R-CA
"McClellan, Jennifer","$5,000",D-VA
"Milo, Blair","$5,000",R-IN
"Williams, Nikema Natassha","$4,750",D-GA
"DeLauro, Rosa","$4,650",D-CT
"Crockett, Jasmine","$4,500",D-TX
"Khanna, Ro","$4,500",D-CA
"Leavitt, Karoline","$4,500",R-NH
"McGarvey, Morgan","$4,500",D-KY
"Eshoo, Anna","$4,450",D-CA
"Smith, Erica","$4,326",D-NC
"Kurani, Shrina","$4,300",D-CA
"Morgan, Yuripzy","$4,000",R-MD
"Stanton, Greg","$4,000",D-AZ
"Holzhauer, Hava","$3,900",D-FL
"Frankel, Lois","$3,550",D-FL
"Joy, Elizabeth","$3,550",R-NY
"Schiff, Adam","$3,285",D-CA
"Jackson, Ronny","$3,200",R-TX
"Hamilton, Jane","$3,175",D-TX
"Murphy, Stephanie","$3,100",D-FL
"Andrews, Annie","$3,034",D-SC
"Raskin, Jamie","$2,900",D-MD
"Rochester, Lisa Blunt","$2,900",D-DE
"Maloney, Carolyn","$2,863",D-NY
"Ehasz, Ashley","$2,750",D-PA
"Cheney, Jamie","$2,600",D-NY
"Nickel, Wiley","$2,600",D-NC
"Jackson, Natalie","$2,500",D-FL
"Klee Hood, Sarah","$2,500",D-NY
"Banyai, Cindy","$2,378",D-FL
"Sewell, Terri","$2,250",D-AL
"Lawson, Al","$2,130",D-FL
"Beyer, Don","$2,000",D-VA
"Brownley, Julia","$2,000",D-CA
"Devaughan, Taysha Lee","$2,000",D-VA
"Harder, Josh","$2,000",D-CA
"Johnson, Alexis","$2,000",R-NM
"Toledo, Jackie","$2,000",R-FL
"Ronning, Penny","$1,818",D-MT
"Dowell, Pat","$1,650",D-IL
"Geels, Courtney","$1,600",R-NC
"Hamilton, Tamika","$1,550",R-CA
"Ortagus, Morgan","$1,500",R-TN
"Wallace, Litesa","$1,250",D-IL
"Kelly, Odessa","$1,020",D-TN
"Childs, Vivian","$1,000",R-GA
"Harwell, Beth","$1,000",R-TN
