"Candidate","Total"
"Rita Hart (D-Iowa)","$6500"
"Christy Smith (D-Calif)","$5500"
"Lucy McBath (D-Ga)","$5000"
"Debbie Mucarsel-Powell (D-Fla)","$5000"
"Jerrold Nadler (D-NY)","$5000"
"Nancy Pelosi (D-Calif)","$5000"
"Mike Thompson (D-Calif)","$5000"
"Cindy Axne (D-Iowa)","$4000"
"Diane Mitsch Bush (D-Colo)","$4000"
"Sean Casten (D-Ill)","$4000"
"Gil Cisneros (D-Calif)","$4000"
"TJ Cox (D-Calif)","$4000"
"Angie Craig (D-Minn)","$4000"
"Jason Crow (D-Colo)","$4000"
"Wendy Davis (D-Texas)","$4000"
"Eugene DePasquale (D-Pa)","$4000"
"Kara Eastman (D-Neb)","$4000"
"Abby Finkenauer (D-Iowa)","$4000"
"Jackie Gordon (D-NY)","$4000"
"Amy Kennedy (D-NJ)","$4000"
"Andy Kim (D-NJ)","$4000"
"Sri Kulkarni (D-Texas)","$4000"
"Max Rose (D-NY)","$4000"
"Harley Rouda (D-Calif)","$4000"
"Abigail Spanberger (D-Va)","$4000"
"Patricia Timmons-Goodson (D-NC)","$4000"
"Lauren A Underwood (D-Ill)","$4000"
"Cynthia Wallace (D-NC)","$4000"
"Cameron Webb (D-Va)","$4000"
"Candace Valenzuela (D-Texas)","$3500"
"Colin Allred (D-Texas)","$3000"
"Dana Balter (D-NY)","$3000"
"Karen Bass (D-Calif)","$3000"
"Carolyn Bourdeaux (D-Ga)","$3000"
"Cheri Bustos (D-Ill)","$3000"
"Matt Cartwright (D-Pa)","$3000"
"Katherine Clark (D-Mass)","$3000"
"James E Clyburn (D-SC)","$3000"
"Joyce Elliott (D-Ark)","$3000"
"Lizzie Fletcher (D-Texas)","$3000"
"Christina Hale (D-Ind)","$3000"
"Steven Horsford (D-Nev)","$3000"
"Steny H Hoyer (D-Md)","$3000"
"Hakeem Jeffries (D-NY)","$3000"
"Gina Ortiz Jones (D-Texas)","$3000"
"Sima Ladjevardian (D-Texas)","$3000"
"Susie Lee (D-Nev)","$3000"
"Betsy Dirksen Londrigan (D-Ill)","$3000"
"Elaine Luria (D-Va)","$3000"
"Kate Schroder (D-Ohio)","$3000"
"Jill Schupp (D-Mo)","$3000"
"Mike Siegel (D-Texas)","$3000"
"Desiree Tims (D-Ohio)","$3000"
"David Cicilline (D-RI)","$2000"
"Sharice Davids (D-Kan)","$2000"
"Rosa DeLauro (D-Conn)","$2000"
"Val Demings (D-Fla)","$2000"
"Ted Deutch (D-Fla)","$2000"
"Debbie Dingell (D-Mich)","$2000"
"Veronica Escobar (D-Texas)","$2000"
"Brian Fitzpatrick (R-Pa)","$2000"
"Pritesh Gandhi (D-Texas)","$2000"
"Jahana Hayes (D-Conn)","$2000"
"Pramila Jayapal (D-Wash)","$2000"
"Robin Kelly (D-Ill)","$2000"
"Mike Levin (D-Calif)","$2000"
"Carolyn Long (D-Wash)","$2000"
"Tom Malinowski (D-NJ)","$2000"
"Stephanie Murphy (D-Fla)","$2000"
"Joseph Neguse (D-Colo)","$2000"
"Chris Pappas (D-NH)","$2000"
"Katie Porter (D-Calif)","$2000"
"Jamie Raskin (D-Md)","$2000"
"Cedric Richmond (D-La)","$2000"
"Kim Schrier (D-Wash)","$2000"
"Donna Shalala (D-Fla)","$2000"
"Mikie Sherrill (D-NJ)","$2000"
"Elissa Slotkin (D-Mich)","$2000"
"Haley Stevens (D-Mich)","$2000"
"Jennifer Wexton (D-Va)","$2000"
"Susan Wild (D-Pa)","$2000"
"Jake Auchincloss (D-Mass)","$1000"
"Anthony Brindisi (D-NY)","$1000"
"Anthony Brown (D-Md)","$1000"
"Salud Carbajal (D-Calif)","$1000"
"Madeleine Dean (D-Pa)","$1000"
"Teresa Leger Fernandez (D-NM)","$1000"
"Josh Gottheimer (D-NJ)","$1000"
"Debra Haaland (D-NM)","$1000"
"Josh Harder (D-Calif)","$1000"
"Jim Himes (D-Conn)","$1000"
"Chrissy Houlahan (D-Pa)","$1000"
"Mondaire Jones (D-NY)","$1000"
"Kai Kahele (D-Hawaii)","$1000"
"Dan Kildee (D-Mich)","$1000"
"Conor Lamb (D-Pa)","$1000"
"Jim Langevin (D-RI)","$1000"
"Barbara Lee (D-Calif)","$1000"
"Carolyn B Maloney (D-NY)","$1000"
"Sean Patrick Maloney (D-NY)","$1000"
"Kathy Manning (D-NC)","$1000"
"Frank J. Mrvan (D-Ind)","$1000"
"Marie Newman (D-Ill)","$1000"
"Jimmy Panetta (D-Calif)","$1000"
"Kathleen Rice (D-NY)","$1000"
"Deborah Ross (D-NC)","$1000"
"Adam Schiff (D-Calif)","$1000"
"Brad Schneider (D-Ill)","$1000"
"J.D. Scholten (D-Iowa)","$1000"
"Debbie Wasserman Schultz (D-Fla)","$1000"
"Adam Smith (D-Wash)","$1000"
"Chris Smith (R-NJ)","$1000"
"Jackie Speier (D-Calif)","$1000"
"Greg Stanton (D-Ariz)","$1000"
"Tom Suozzi (D-NY)","$1000"
"Eric Swalwell (D-Calif)","$1000"
"Norma Torres (D-Calif)","$1000"
"Ritchie Torres (D-NY)","$1000"
"Nikema Williams (D-Ga)","$1000"
"Joe Cunningham (D-SC)","$0"
