District,Member,Party
Kentucky 2,Brett Guthrie,Republican
Kentucky 3,Morgan McGarvey,Democratic
Kentucky 4,Thomas Massie,Republican
Kentucky 5,Hal Rogers,Republican
Kentucky 6,Andy Barr,Republican
Louisiana 1,Steve Scalise,Republican
Louisiana 2,Troy Carter,Democratic
Louisiana 3,Clay Higgins,Republican
Louisiana 4,Mike Johnson,Republican
Louisiana 5,Julia Letlow,Republican
Louisiana 6,Garret Graves,Republican
Maine 1,Chellie Pingree,Democratic
Maine 2,Jared Golden,Democratic
Maryland 1,Andy Harris,Republican
Maryland 2,Dutch Ruppersberger,Democratic
Maryland 3,John Sarbanes,Democratic
Maryland 4,Glenn Ivey,Democratic
Maryland 5,Steny Hoyer,Democratic
Maryland 6,David Trone,Democratic
Maryland 7,Kweisi Mfume,Democratic
Maryland 8,Jamie Raskin,Democratic
Massachusetts 1,Richard Neal,Democratic
Massachusetts 2,Jim McGovern,Democratic
Massachusetts 3,Lori Trahan,Democratic
Massachusetts 4,Jake Auchincloss,Democratic
Massachusetts 5,Katherine Clark,Democratic
Massachusetts 6,Seth Moulton,Democratic
Massachusetts 7,Ayanna Pressley,Democratic
Massachusetts 8,Stephen F. Lynch,Democratic
Massachusetts 9,Bill Keating,Democratic
Michigan 1,Jack Bergman,Republican
Michigan 2,John Moolenaar,Republican
Michigan 3,Hillary Scholten,Democratic
Michigan 4,Bill Huizenga,Republican
Michigan 5,Tim Walberg,Republican
Michigan 6,Debbie Dingell,Democratic
Michigan 7,Elissa Slotkin,Democratic
Michigan 8,Dan Kildee,Democratic
Michigan 9,Lisa McClain,Republican
Michigan 10,John James,Republican
Michigan 11,Haley Stevens,Democratic
Michigan 12,Rashida Tlaib,Democratic
Michigan 13,Shri Thanedar,Democratic
Minnesota 1,Brad Finstad,Republican
Minnesota 2,Angie Craig,Democratic
Minnesota 3,Dean Phillips,Democratic
Minnesota 4,Betty McCollum,Democratic
Minnesota 5,Ilhan Omar,Democratic
Minnesota 6,Tom Emmer,Republican
Minnesota 7,Michelle Fischbach,Republican
Minnesota 8,Pete Stauber,Republican
Mississippi 1,Trent Kelly,Republican
Mississippi 2,Bennie Thompson,Democratic
Mississippi 3,Michael Guest,Republican
Mississippi 4,Mike Ezell,Republican
Missouri 1,Cori Bush,Democratic
Missouri 2,Ann Wagner,Republican
Missouri 3,Blaine Luetkemeyer,Republican
Missouri 4,Mark Alford,Republican
Missouri 5,Emanuel Cleaver,Democratic
Missouri 6,Sam Graves,Republican
Missouri 7,Eric Burlison,Republican
Missouri 8,Jason Smith,Republican
Montana 1,Ryan Zinke,Republican
Montana 2,Matt Rosendale,Republican
Nebraska 1,Mike Flood,Republican
Nebraska 2,Don Bacon,Republican
Nebraska 3,Adrian Smith,Republican
Nevada 1,Dina Titus,Democratic
Nevada 2,Mark Amodei,Republican
Nevada 3,Susie Lee,Democratic
Nevada 4,Steven Horsford,Democratic
New Hampshire 1,Chris Pappas,Democratic
New Hampshire 2,Annie Kuster,Democratic
New Jersey 1,Donald Norcross,Democratic
New Jersey 2,Jeff Van Drew,Republican
New Jersey 3,Andy Kim,Democratic
New Jersey 4,Chris Smith,Republican
New Jersey 5,Josh Gottheimer,Democratic
New Jersey 6,Frank Pallone,Democratic
New Jersey 7,Thomas Kean Jr.,Republican
New Jersey 8,Rob Menendez,Democratic
New Jersey 9,Bill Pascrell,Democratic
New Jersey 10,Donald Payne Jr.,Democratic
New Jersey 11,Mikie Sherrill,Democratic
New Jersey 12,Bonnie Watson Coleman,Democratic
New Mexico 1,Melanie Stansbury,Democratic
New Mexico 2,Gabe Vasquez,Democratic
New Mexico 3,Teresa Leger Fernandez,Democratic
New York 1,Nick LaLota,Republican
New York 2,Andrew Garbarino,Republican
New York 3,George Santos,Republican
New York 4,Anthony D'Esposito,Republican
New York 5,Gregory Meeks,Democratic
New York 6,Grace Meng,Democratic
New York 7,Nydia Velázquez,Democratic
New York 8,Hakeem Jeffries,Democratic
New York 9,Yvette Clarke,Democratic
New York 10,Dan Goldman,Democratic
New York 11,Nicole Malliotakis,Republican
New York 12,Jerry Nadler,Democratic
New York 13,Adriano Espaillat,Democratic
New York 14,Alexandria Ocasio-Cortez,Democratic
New York 15,Ritchie Torres,Democratic
New York 16,Jamaal Bowman,Democratic
New York 17,Mike Lawler,Republican
New York 18,Pat Ryan,Democratic
New York 19,Marc Molinaro,Republican
New York 20,Paul Tonko,Democratic
New York 21,Elise Stefanik,Republican
New York 22,Brandon Williams,Republican
New York 23,Nick Langworthy,Republican
New York 24,Claudia Tenney,Republican
New York 25,Joseph Morelle,Democratic
New York 26,Brian Higgins,Democratic
North Carolina 1,Don Davis,Democratic
North Carolina 2,Deborah Ross,Democratic
North Carolina 3,Greg Murphy,Republican
North Carolina 4,Valerie Foushee,Democratic
North Carolina 5,Virginia Foxx,Republican
North Carolina 6,Kathy Manning,Democratic
North Carolina 7,David Rouzer,Republican
North Carolina 8,Dan Bishop,Republican
North Carolina 9,Richard Hudson,Republican
North Carolina 10,Patrick McHenry,Republican
North Carolina 11,Chuck Edwards,Republican
North Carolina 12,Alma Adams,Democratic
North Carolina 13,Wiley Nickel,Democratic
North Carolina 14,Jeff Jackson,Democratic
North Dakota 1,Kelly Armstrong,Republican
Ohio 1,Greg Landsman,Democratic
Ohio 2,Brad Wenstrup,Republican
Ohio 3,Joyce Beatty,Democratic
Ohio 4,Jim Jordan,Republican
Ohio 5,Bob Latta,Republican
Ohio 6,Bill Johnson,Republican
Ohio 7,Max Miller,Republican
Ohio 8,Warren Davidson,Republican
Ohio 9,Marcy Kaptur,Democratic
Ohio 10,Mike Turner,Republican
Ohio 11,Shontel Brown,Democratic
Ohio 12,Troy Balderson,Republican
Ohio 13,Emilia Sykes,Democratic
Ohio 14,David Joyce,Republican
Ohio 15,Mike Carey,Republican
Oklahoma 1,Kevin Hern,Republican
Oklahoma 2,Josh Brecheen,Republican
Oklahoma 3,Frank Lucas,Republican
Oklahoma 4,Tom Cole,Republican
Oklahoma 5,Stephanie Bice,Republican
Oregon 1,Suzanne Bonamici,Democratic
Oregon 2,Cliff Bentz,Republican
Oregon 3,Earl Blumenauer,Democratic
Oregon 4,Val Hoyle,Democratic
Oregon 5,Lori Chavez-DeRemer,Republican
Oregon 6,Andrea Salinas,Democratic
Pennsylvania 1,Brian Fitzpatrick,Republican
Pennsylvania 2,Brendan Boyle,Democratic
Pennsylvania 3,Dwight Evans,Democratic
Pennsylvania 4,Madeleine Dean,Democratic
Pennsylvania 5,Mary Gay Scanlon,Democratic
Pennsylvania 6,Chrissy Houlahan,Democratic
Pennsylvania 7,Susan Wild,Democratic
Pennsylvania 8,Matt Cartwright,Democratic
Pennsylvania 9,Dan Meuser,Republican
Pennsylvania 10,Scott Perry,Republican
Pennsylvania 11,Lloyd Smucker,Republican
Pennsylvania 12,Summer Lee,Democratic
Pennsylvania 13,John Joyce,Republican
Pennsylvania 14,Guy Reschenthaler,Republican
Pennsylvania 15,Glenn Thompson,Republican
Pennsylvania 16,Mike Kelly,Republican
Pennsylvania 17,Chris Deluzio,Democratic
Rhode Island 1,David Cicilline,Democratic
Rhode Island 2,Seth Magaziner,Democratic
South Carolina 1,Nancy Mace,Republican
South Carolina 2,Joe Wilson,Republican
South Carolina 3,Jeff Duncan,Republican
South Carolina 4,William Timmons,Republican
South Carolina 5,Ralph Norman,Republican
South Carolina 6,Jim Clyburn,Democratic
South Carolina 7,Russell Fry,Republican
South Dakota 1,Dusty Johnson,Republican
Tennessee 1,Diana Harshbarger,Republican
Tennessee 2,Tim Burchett,Republican
Tennessee 3,Chuck Fleischmann,Republican
Tennessee 4,Scott DesJarlais,Republican
Tennessee 5,Andy Ogles,Republican
Tennessee 6,John Rose,Republican
Tennessee 7,Mark E. Green,Republican
Tennessee 8,David Kustoff,Republican
Tennessee 9,Steve Cohen,Democratic
Texas 1,Nathaniel Moran,Republican
Texas 2,Dan Crenshaw,Republican
Texas 3,Keith Self,Republican
Texas 4,Pat Fallon,Republican
Texas 5,Lance Gooden,Republican
Texas 6,Jake Ellzey,Republican
Texas 7,Lizzie Pannill Fletcher,Democratic
Texas 8,Morgan Luttrell,Republican
Texas 9,Al Green,Democratic
Texas 10,Michael McCaul,Republican
Texas 11,August Pfluger,Republican
Texas 12,Kay Granger,Republican
Texas 13,Ronny Jackson,Republican
Texas 14,Randy Weber,Republican
Texas 15,Monica De La Cruz,Republican
Texas 16,Veronica Escobar,Democratic
Texas 17,Pete Sessions,Republican
Texas 18,Sheila Jackson Lee,Democratic
Texas 19,Jodey Arrington,Republican
Texas 20,Joaquin Castro,Democratic
Texas 21,Chip Roy,Republican
Texas 22,Troy Nehls,Republican
Texas 23,Tony Gonzales,Republican
Texas 24,Beth Van Duyne,Republican
Texas 25,Roger Williams,Republican
Texas 26,Michael C. Burgess,Republican
Texas 27,Michael Cloud,Republican
Texas 28,Henry Cuellar,Democratic
