"Candidate","Total"
"Ron Hood (R-Ohio)","$5000"
"Chip Roy (R-Texas)","$5000"
"Paul Broun (R-Ga)","$4000"
"Tim Baxter (R-NH)","$2000"
"Taffy Howard (R-SD)","$2000"
"Catalina Lauf (R-Ill)","$1000"
"Anthony Sabatini (R-Fla)","$1000"
