"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Barzee Flores Mary","$1000","$0","$1000","Candidate (D-FL25)","Democrat","Cand","House"
"Sanchez Linda","$1000","$0","$1000","Candidate (D-CA38)","Democrat","Cand","House"
"Jeffries Hakeem","$1000","$0","$1000","Candidate (D-NY08)","Democrat","Cand","House"
"Kennedy Joe III","$1000","$0","$1000","Candidate (D-MA04)","Democrat","Cand","House"
"Curbelo Carlos","$1000","$0","$1000","Candidate (R-FL26)","Republican","Cand","House"
"Fitzpatrick Brian","$1000","$0","$1000","Candidate (R-PA08)","Republican","Cand","House"
"Finkenauer Abby","$1000","$1000","$0","Candidate (D-IA01)","Democrat","Cand","House"
"Gershon Perry","$1000","$0","$1000","Candidate (D-NY01)","Democrat","Cand","House"
"Shalala Donna","$1000","$0","$1000","Candidate (D-FL27)","Democrat","Cand","House"
"Dean Madeleine","$1000","$0","$1000","Candidate (D-PA04)","Democrat","Cand","House"
"Hayes Jahana","$1000","$0","$1000","Candidate (D-CT05)","Democrat","Cand","House"
"Pressley Ayanna","$810","$810","$0","Candidate (D-MA07)","Democrat","Cand","House"
"Moser Laura","$600","$600","$0","Candidate (D-TX07)","Democrat","Cand","House"
"McGrath Amy","$539","$539","$0","Candidate (D-KY06)","Democrat","Cand","House"
"Meier Edward","$500","$500","$0","Candidate (D-TX32)","Democrat","Cand","House"
"Shirley Liuba Grechen","$350","$350","$0","Candidate (D-NY02)","Democrat","Cand","House"
"Harbaugh Ken","$250","$250","$0","Candidate (D-OH07)","Democrat","Cand","House"
"Baer Lauren","$250","$250","$0","Candidate (D-FL18)","Democrat","Cand","House"
"D'Alessandro Pete","$250","$250","$0","Candidate (D-IA03)","Democrat","Cand","House"
"Spearman Pat","$250","$250","$0","Candidate (D-NV04)","Democrat","Cand","House"
"Myers Cathy","$220","$220","$0","Candidate (D-WI01)","Democrat","Cand","House"
"Scholten JD","$93","$93","$0","Candidate (D-IA04)","Democrat","Cand","House"
"Harder Josh","$44","$44","$0","Candidate (D-CA10)","Democrat","Cand","House"
"Small Xochitl Torres","$33","$33","$0","Candidate (D-NM02)","Democrat","Cand","House"
"Bryce Randy","$30","$30","$0","Candidate (D-WI01)","Democrat","Cand","House"
"Feehan Daniel","$29","$29","$0","Candidate (D-MN01)","Democrat","Cand","House"
"Brindisi Anthony","$28","$28","$0","Candidate (D-NY22)","Democrat","Cand","House"
"Radinovich Joe","$25","$25","$0","Candidate (D-MN08)","Democrat","Cand","House"
"Golden Jared","$23","$23","$0","Candidate (D-ME02)","Democrat","Cand","House"
"King Jess","$21","$21","$0","Candidate (D-PA11)","Democrat","Cand","House"
"Garrett Janet","$20","$20","$0","Candidate (D-OH04)","Democrat","Cand","House"
"Welle Josh","$20","$20","$0","Candidate (D-NJ04)","Democrat","Cand","House"
"Ojeda Richard","$18","$18","$0","Candidate (D-WV03)","Democrat","Cand","House"
"Williams Kathleen","$18","$18","$0","Candidate (D-MT01)","Democrat","Cand","House"
"Davis Paul","$18","$18","$0","Candidate (D-KS02)","Democrat","Cand","House"
"Coleman Linda","$18","$18","$0","Candidate (D-NC02)","Democrat","Cand","House"
"O'Connor Danny","$15","$15","$0","Candidate (D-OH12)","Democrat","Cand","House"
"Axne Cindy","$14","$14","$0","Candidate (D-IA03)","Democrat","Cand","House"
"Cisneros Gil","$13","$13","$0","Candidate (D-CA39)","Democrat","Cand","House"
"Cox TJ","$9","$9","$0","Candidate (D-CA21)","Democrat","Cand","House"
"Galvin Alyse","$9","$9","$0","Candidate (D-AK01)","Democrat","Cand","House"
"Tucker Clarke","$9","$9","$0","Candidate (D-AR02)","Democrat","Cand","House"
"Shapiro David","$5","$5","$0","Candidate (D-FL16)","Democrat","Cand","House"
"Eastman Kara","$5","$5","$0","Candidate (D-NE02)","Democrat","Cand","House"
"Kelly Brendan","$5","$5","$0","Candidate (D-IL12)","Democrat","Cand","House"
"DiNicola Ron","$5","$5","$0","Candidate (D-PA16)","Democrat","Cand","House"
"Casten Sean","$5","$5","$0","Candidate (D-IL06)","Democrat","Cand","House"
"Scott George","$5","$5","$0","Candidate (D-PA10)","Democrat","Cand","House"
